Rk,Player,G,Season,Age,Team,PLAY_G,PLAY_GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PLAY_PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,-9999
205,Eric Bledsoe,6,2012-13,23,LAC,6,0,16.2,2.5,5.0,2.3,3.5,0.2,1.5,1.3,2.0,0.3,2.2,2.5,3.0,0.3,0.5,0.8,1.7,6.5,.500,.667,.111,.667,.553,.517,G,bledser01
206,Eric Bledsoe,7,2017-18,28,MIL,7,7,32.1,5.3,12.0,4.3,8.9,1.0,3.1,2.0,2.9,0.4,3.1,3.6,3.7,1.0,0.9,2.1,2.7,13.6,.440,.484,.318,.700,.512,.482,G,bledser01
207,Eric Bledsoe,15,2018-19,29,MIL,15,15,28.2,5.1,12.3,3.9,7.5,1.1,4.8,2.4,3.4,1.3,2.4,3.7,4.3,1.1,0.4,2.2,1.9,13.7,.411,.522,.236,.706,.494,.457,G,bledser01
208,Eric Bledsoe,9,2019-20,30,MIL,9,9,29.7,4.2,10.9,3.3,7.3,0.9,3.6,2.3,2.9,0.6,4.0,4.6,5.9,1.2,0.7,2.6,2.2,11.7,.388,.455,.250,.808,.480,.429,G,bledser01
209,Bogdan Bogdanović,18,2020-21,28,ATL,18,18,33.2,5.4,13.8,2.8,5.9,2.6,7.9,0.7,0.9,0.6,3.6,4.2,2.9,1.6,0.3,1.5,2.8,14.1,.390,.472,.329,.706,.493,.484,G,bogdabo01
210,Bogdan Bogdanović,4,2021-22,29,ATL,4,0,26.8,5.0,12.3,2.8,5.8,2.3,6.5,2.0,2.5,1.0,3.8,4.8,3.0,0.3,0.3,1.0,3.0,14.3,.408,.478,.346,.800,.534,.500,G,bogdabo01
211,Bojan Bogdanović,6,2014-15,25,BRK,6,5,34.3,3.8,9.8,2.0,4.3,1.8,5.5,0.8,1.2,0.5,3.3,3.8,1.7,0.7,0.3,1.3,2.0,10.3,.390,.462,.333,.714,.499,.483,G-F,bogdabo02
212,Bojan Bogdanović,13,2016-17,27,WAS,13,0,20.3,2.8,6.7,1.5,3.2,1.2,3.5,2.1,2.5,0.8,3.5,4.3,0.7,0.5,0.1,0.6,1.3,8.8,.414,.476,.356,.844,.569,.506,G-F,bogdabo02
213,Bojan Bogdanović,7,2017-18,28,IND,7,7,34.0,4.6,11.6,2.1,5.1,2.4,6.4,0.9,1.4,0.1,3.3,3.4,1.9,0.9,0.0,1.9,3.3,12.4,.395,.417,.378,.600,.509,.500,G-F,bogdabo02
214,Bojan Bogdanović,4,2018-19,29,IND,4,4,37.0,6.3,15.8,4.5,10.3,1.8,5.5,3.8,4.3,0.8,5.0,5.8,2.8,2.0,0.0,1.5,1.8,18.0,.397,.439,.318,.882,.511,.452,G-F,bogdabo02
