Player,Age,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
Ricky Rubio,22-32,657,29.4,3.5,9.1,2.6,6.2,0.9,2.9,2.8,3.4,0.6,3.4,4.0,7.3,1.7,0.1,2.5,2.5,10.9,0.39,0.42,0.323,0.845,0.513,0.44,G
Terry Rozier,21-28,540,27.1,5.0,11.9,2.9,6.3,2.1,5.6,1.7,2.0,0.7,3.3,3.9,3.4,1.0,0.2,1.3,1.5,13.6,0.417,0.461,0.367,0.819,0.534,0.504,G
Terrence Ross,21-31,733,24.5,4.0,9.6,2.2,4.6,1.8,5.0,1.1,1.4,0.3,2.5,2.8,1.3,0.8,0.3,1.0,1.7,11.0,0.418,0.48,0.362,0.837,0.538,0.513,F-G
Derrick Rose,25-34,420,27.1,6.2,13.7,5.3,11.0,0.9,2.7,2.4,2.8,0.7,2.2,2.9,4.2,0.7,0.3,2.1,1.1,15.5,0.449,0.481,0.318,0.85,0.52,0.48,G
Rajon Rondo,26-35,520,27.6,3.7,8.6,3.0,6.4,0.7,2.2,0.7,1.2,0.8,3.8,4.6,7.8,1.3,0.1,2.7,2.0,8.9,0.434,0.465,0.344,0.596,0.489,0.478,G
Sergio Rodríguez,30,68,22.3,3.1,7.9,1.7,4.2,1.4,3.7,0.3,0.4,0.3,2.0,2.3,5.1,0.7,0.1,1.9,1.4,7.8,0.392,0.415,0.365,0.667,0.484,0.478,G
David Roddy,21,70,18.0,2.6,6.0,1.6,3.0,0.9,3.0,0.6,0.9,0.7,2.0,2.8,0.8,0.4,0.3,0.8,1.5,6.7,0.429,0.553,0.307,0.631,0.519,0.506,F
Isaiah Roby,21-24,151,18.9,2.9,6.0,2.3,4.2,0.6,1.8,1.2,1.8,1.2,3.2,4.4,1.4,0.7,0.5,1.2,2.2,7.7,0.485,0.541,0.351,0.675,0.563,0.536,F
Jeremiah Robinson-Earl,21-22,92,20.7,2.7,6.2,1.6,3.2,1.0,3.0,0.8,1.0,1.6,3.3,4.9,1.0,0.6,0.3,0.6,1.6,7.2,0.427,0.503,0.344,0.781,0.536,0.51,F
Thomas Robinson,21-25,313,13.4,2.0,4.3,2.0,4.3,0.0,0.0,0.8,1.6,1.7,3.1,4.8,0.6,0.5,0.4,1.0,1.7,4.9,0.47,0.472,0.0,0.505,0.484,0.47,F
