Rk,Player,From,To,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
811,Othyus Jeffers,2013-14,2013-14,28,6,1,7.8,0.5,1.0,0.5,0.7,0.0,0.3,0.5,0.7,0.2,1.3,1.5,0.2,0.0,0.0,0.2,0.5,1.5,.500,.750,.000,.750,.580,.500,G,MINSAS,jeffeot01
812,DeJon Jarreau,2021-22,2021-22,24,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,G,IND,jarrede01
813,Antawn Jamison,2012-13,2013-14,36-37,98,6,19.2,3.0,6.8,2.1,4.0,0.9,2.8,1.1,1.6,1.2,3.1,4.3,0.6,0.4,0.3,0.6,1.6,8.1,.444,.519,.336,.696,.539,.513,F,LACLAL,jamisan01
814,Mike James,2012-13,2013-14,37-38,56,23,16.8,1.9,5.2,1.0,2.9,0.9,2.3,0.4,0.6,0.2,1.3,1.4,2.8,0.5,0.1,1.1,1.9,5.1,.363,.352,.377,.742,.465,.447,G,CHIDAL,jamesmi01
815,Mike James,2017-18,2020-21,27-30,49,11,18.8,3.2,8.4,2.4,5.8,0.8,2.6,1.7,2.3,0.3,2.2,2.5,3.7,0.7,0.2,1.4,1.2,8.9,.380,.423,.287,.766,.472,.425,G,BRKNOPPHO,jamesmi02
816,LeBron James,2012-13,2022-23,28-38,732,731,36.3,10.1,19.1,8.2,13.9,1.8,5.2,4.8,6.7,1.1,6.7,7.8,7.7,1.4,0.7,3.6,1.7,26.8,.526,.590,.355,.721,.607,.574,F-G,CLELALMIA,jamesle01
817,Justin James,2019-20,2020-21,23-24,72,0,7.5,1.2,2.7,0.9,1.8,0.3,0.9,0.4,0.8,0.2,0.7,0.9,0.6,0.2,0.2,0.3,0.6,3.2,.446,.500,.343,.544,.518,.505,G,SAC,jamesju01
818,Damion James,2012-13,2013-14,25-26,7,1,7.1,0.3,1.3,0.3,1.0,0.0,0.3,0.3,0.3,0.1,1.7,1.9,0.4,0.0,0.1,0.1,0.4,0.9,.222,.286,.000,1.000,.304,.222,G-F,BRKSAS,jamesda01
819,Bernard James,2012-13,2014-15,27-29,92,13,8.3,0.8,1.7,0.8,1.6,0.0,0.0,0.6,0.8,0.9,1.4,2.3,0.1,0.2,0.7,0.4,1.1,2.2,.497,.507,.000,.680,.546,.497,C,DAL,jamesbe01
820,Stephen Jackson,2012-13,2013-14,34-35,64,6,18.5,2.0,5.6,1.3,2.7,0.7,2.9,0.8,1.2,0.4,2.2,2.6,1.3,0.7,0.2,1.3,1.6,5.6,.362,.477,.255,.689,.458,.428,F-G,LACSAS,jacksst02
821,Reggie Jackson,2012-13,2022-23,22-32,726,506,26.4,5.0,11.8,3.6,7.7,1.4,4.1,2.0,2.3,0.5,2.5,3.0,4.4,0.7,0.1,1.9,2.0,13.4,.425,.466,.347,.857,.524,.485,G,DENDETLACOKC,jacksre01
822,Quenton Jackson,2022-23,2022-23,24,9,0,15.0,2.1,4.7,2.0,3.3,0.1,1.3,1.9,2.4,0.2,0.7,0.9,1.7,0.4,0.1,0.4,1.1,6.2,.452,.600,.083,.773,.542,.464,G,WAS,jacksqu01
823,Pierre Jackson,2016-17,2016-17,25,8,1,10.5,1.6,4.9,1.3,3.5,0.4,1.4,0.8,0.9,0.1,1.0,1.1,2.4,0.3,0.0,0.4,0.6,4.4,.333,.357,.273,.857,.416,.372,G,DAL,jackspi01
824,Justin Jackson,2017-18,2022-23,22-27,278,61,17.6,2.3,5.4,1.4,2.8,0.8,2.7,0.6,0.7,0.4,1.9,2.4,1.0,0.3,0.2,0.4,1.0,6.0,.423,.523,.319,.796,.524,.501,G-F,BOSDALMILOKCPHOSAC,jacksju01
825,Josh Jackson,2017-18,2021-22,20-24,291,92,23.1,4.2,10.1,3.3,7.0,0.9,3.1,2.0,2.9,0.9,3.1,4.0,1.8,0.9,0.6,1.8,2.5,11.3,.416,.471,.292,.680,.495,.461,F-G,DETMEMPHOSAC,jacksjo02
826,Jaren Jackson Jr.,2018-19,2022-23,19-23,267,258,27.4,5.8,12.5,4.2,7.8,1.7,4.7,3.2,4.0,1.4,4.1,5.5,1.1,0.9,2.1,1.7,3.7,16.4,.466,.535,.352,.790,.578,.532,F,MEM,jacksja02
827,Isaiah Jackson,2021-22,2022-23,20-21,99,27,16.0,3.0,5.3,2.9,5.0,0.1,0.3,1.6,2.4,1.7,2.6,4.4,0.6,0.6,1.5,0.9,2.5,7.6,.563,.583,.233,.662,.600,.570,C-F,IND,jacksis01
828,Frank Jackson,2018-19,2022-23,20-24,214,31,18.1,3.1,7.3,1.9,3.8,1.2,3.5,1.2,1.5,0.4,1.4,1.8,1.0,0.4,0.1,0.8,1.5,8.5,.421,.502,.332,.786,.534,.501,G,DETNOPUTA,jacksfr01
829,Demetrius Jackson,2016-17,2018-19,22-24,26,0,5.2,0.7,1.4,0.5,0.9,0.2,0.5,0.3,0.5,0.3,0.4,0.7,0.7,0.3,0.0,0.4,0.4,1.8,.486,.609,.286,.667,.568,.541,G,BOSHOUPHI,jacksde01
830,Aaron Jackson,2017-18,2017-18,31,1,0,35.0,3.0,9.0,2.0,5.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0,8.0,.333,.400,.250,.500,.405,.389,G,HOU,jacksaa01
831,Jarrett Jack,2012-13,2017-18,29-34,335,150,28.2,4.1,9.5,3.4,7.3,0.7,2.2,2.0,2.3,0.3,2.8,3.1,5.1,0.8,0.2,2.1,1.8,10.8,.429,.458,.332,.861,.516,.467,G,BRKCLEGSWNOPNYK,jackja01
832,Wes Iwundu,2017-18,2021-22,23-27,226,51,16.9,1.5,3.7,1.2,2.6,0.3,1.1,1.0,1.2,0.5,1.9,2.5,0.9,0.5,0.2,0.5,1.5,4.4,.408,.458,.292,.798,.510,.452,F,ATLDALNOPORL,iwundwe01
833,Royal Ivey,2012-13,2013-14,31-32,55,5,12.8,1.1,2.7,0.5,1.0,0.7,1.6,0.2,0.3,0.3,0.8,1.1,0.6,0.4,0.1,0.4,1.3,3.1,.425,.439,.416,.563,.555,.551,G,OKCPHI,iveyro01
834,Jaden Ivey,2022-23,2022-23,20,74,73,31.1,5.5,13.3,3.9,8.6,1.6,4.7,3.6,4.8,1.0,2.9,3.9,5.2,0.8,0.2,3.2,3.3,16.3,.416,.457,.343,.747,.528,.477,G,DET,iveyja01
835,Jonathan Isaac,2017-18,2022-23,20-25,147,106,24.7,3.4,7.8,2.4,4.9,1.0,2.9,1.3,1.7,1.3,4.1,5.3,1.0,1.1,1.4,1.1,1.9,9.0,.434,.493,.333,.789,.530,.495,F,ORL,isaacjo01
836,Kyrie Irving,2012-13,2022-23,20-30,620,620,34.7,8.8,18.5,6.4,12.4,2.4,6.1,3.9,4.4,0.8,3.2,4.0,5.7,1.3,0.4,2.5,2.3,23.8,.472,.513,.391,.885,.582,.537,G,BOSBRKCLEDAL,irvinky01
837,Brandon Ingram,2016-17,2022-23,19-25,413,374,33.0,7.0,15.0,5.6,11.3,1.4,3.7,3.9,5.0,0.7,4.5,5.2,4.1,0.7,0.6,2.5,2.4,19.2,.464,.497,.364,.784,.558,.509,F,LALNOP,ingrabr01
838,Andre Ingram,2017-18,2018-19,32-33,6,0,13.2,1.3,3.8,0.5,1.8,0.8,2.0,0.5,0.5,0.3,1.0,1.3,1.2,0.7,0.5,0.7,0.5,4.0,.348,.273,.417,1.000,.493,.457,G,LAL,ingraan01
839,Damien Inglis,2015-16,2015-16,20,20,1,7.8,0.7,1.9,0.5,1.2,0.2,0.7,0.4,0.4,0.1,1.5,1.6,0.5,0.3,0.2,0.6,0.6,1.8,.351,.417,.231,.875,.444,.392,F,MIL,inglida01
840,Joe Ingles,2014-15,2022-23,27-35,636,313,25.5,3.0,6.7,1.2,2.3,1.8,4.4,0.7,0.9,0.3,2.9,3.2,3.7,0.9,0.2,1.5,1.8,8.5,.449,.527,.408,.771,.600,.584,F-G,MILUTA,inglejo01
841,Ersan İlyasova,2012-13,2020-21,25-33,558,304,23.2,3.8,8.7,2.7,5.5,1.2,3.2,1.5,1.9,1.6,3.9,5.5,1.2,0.7,0.3,0.9,2.3,10.3,.442,.485,.370,.773,.543,.511,F,ATLDETMILOKCORLPHIUTA,ilyaser01
842,Andre Iguodala,2012-13,2022-23,29-39,616,169,26.4,2.8,6.0,2.0,3.5,0.8,2.6,0.9,1.5,0.7,3.2,4.0,3.5,1.1,0.5,1.3,1.4,7.4,.465,.567,.328,.617,.552,.535,F-G,DENGSWMIA,iguodan01
843,Serge Ibaka,2012-13,2022-23,23-33,698,587,28.4,5.4,10.7,4.5,8.2,0.9,2.4,1.4,1.8,1.9,5.2,7.2,1.0,0.4,1.8,1.4,2.6,13.1,.508,.552,.359,.776,.572,.549,F-C,LACMILOKCORLTOR,ibakase01
844,Bones Hyland,2021-22,2022-23,21-22,125,5,19.2,3.7,9.1,1.7,3.8,2.0,5.4,1.5,1.8,0.3,2.3,2.6,2.9,0.6,0.3,1.3,2.0,10.9,.401,.448,.368,.850,.546,.510,G,DENLAC,hylanbo01
845,Chandler Hutchison,2018-19,2021-22,22-25,103,25,17.4,2.1,4.7,1.8,3.7,0.3,1.1,0.9,1.4,0.5,3.1,3.7,0.8,0.6,0.2,0.7,1.4,5.4,.442,.480,.309,.643,.506,.476,G,CHIPHOWAS,hutchch01
846,Vince Hunter,2017-18,2017-18,23,4,0,1.8,0.8,1.3,0.8,1.3,0.0,0.0,0.0,0.0,0.5,0.3,0.8,0.0,0.0,0.3,0.3,0.0,1.5,.600,.600,,,.600,.600,F,MEM,huntevi01
847,R.J. Hunter,2015-16,2018-19,22-25,45,1,8.8,1.1,2.9,0.5,1.0,0.6,2.0,0.2,0.2,0.1,1.0,1.0,0.4,0.4,0.1,0.3,0.9,3.0,.371,.523,.295,.818,.486,.470,G,BOSCHIHOU,hunterj01
848,De'Andre Hunter,2019-20,2022-23,22-25,206,200,31.1,5.0,11.3,3.5,7.0,1.5,4.3,2.3,2.9,0.6,3.5,4.2,1.5,0.7,0.3,1.4,2.9,13.9,.444,.497,.356,.799,.552,.511,F,ATL,huntede01
849,Feron Hunt,2021-22,2021-22,22,2,0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.0,.000,.000,,,.000,.000,F,NYK,huntfe01
850,Kris Humphries,2012-13,2016-17,27-31,307,89,17.7,2.6,5.6,2.4,5.1,0.2,0.6,1.4,1.8,1.6,3.7,5.3,0.7,0.4,0.5,0.8,1.8,6.7,.457,.474,.306,.785,.524,.472,F-C,ATLBOSBRKPHOWAS,humphkr01
851,Isaac Humphries,2018-19,2018-19,21,5,1,11.2,1.2,4.2,0.6,2.0,0.6,2.2,0.0,0.0,0.8,1.4,2.2,0.0,0.2,0.0,0.0,1.4,3.0,.286,.300,.273,,.357,.357,C,ATL,humphis01
852,Robbie Hummel,2013-14,2014-15,24-25,98,9,14.3,1.5,3.6,1.0,2.1,0.5,1.4,0.4,0.5,0.7,2.0,2.7,0.5,0.3,0.1,0.3,1.5,3.9,.418,.469,.343,.867,.514,.487,F,MIN,hummero01
853,Elijah Hughes,2020-21,2021-22,22-23,54,4,9.2,1.1,3.2,0.4,1.0,0.6,2.2,0.2,0.2,0.1,1.1,1.2,0.5,0.3,0.2,0.4,0.7,2.9,.328,.429,.280,.769,.437,.422,F,PORUTA,hugheel01
854,Jay Huff,2021-22,2022-23,23-24,11,0,10.5,1.4,2.5,0.8,1.3,0.5,1.3,1.4,1.5,0.6,1.6,2.3,1.0,0.4,0.5,0.5,1.5,4.6,.536,.643,.429,.938,.728,.643,F-C,LALWAS,huffja01
855,Josh Huestis,2015-16,2017-18,24-26,76,10,14.1,0.9,2.7,0.4,1.1,0.5,1.6,0.1,0.3,0.6,1.7,2.4,0.3,0.2,0.6,0.4,1.1,2.5,.346,.400,.312,.240,.433,.441,F,OKC,huestjo01
856,Kevin Huerter,2018-19,2022-23,20-24,349,291,29.6,4.6,10.4,2.4,4.7,2.2,5.7,0.8,1.1,0.6,2.9,3.5,3.1,1.0,0.3,1.3,2.4,12.2,.444,.515,.385,.766,.563,.550,G,ATLSAC,huertke01
857,Marcelo Huertas,2015-16,2016-17,32-33,76,1,14.6,1.6,3.9,1.3,2.9,0.3,1.1,0.5,0.6,0.3,1.2,1.5,3.1,0.5,0.1,1.3,1.2,3.9,.409,.468,.250,.783,.471,.443,G,LAL,huertma01
858,Lester Hudson,2014-15,2014-15,30,5,0,11.2,1.2,2.8,0.6,1.6,0.6,1.2,0.6,0.8,0.2,1.4,1.6,1.0,1.2,0.2,0.6,0.8,3.6,.429,.375,.500,.750,.571,.536,G,LAC,hudsole01
859,Trevor Hudgins,2022-23,2022-23,23,5,0,5.6,0.4,1.8,0.0,0.2,0.4,1.6,0.6,0.6,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.2,1.8,.222,.000,.250,1.000,.436,.333,G,HOU,hudgitr01
860,William Howard,2019-20,2019-20,26,2,0,6.5,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0,.000,,.000,,.000,.000,F,HOU,howarwi01
861,Markus Howard,2020-21,2021-22,21-22,68,1,5.6,1.2,3.0,0.5,1.1,0.7,2.0,0.4,0.5,0.0,0.4,0.5,0.4,0.2,0.0,0.4,0.6,3.4,.382,.458,.341,.844,.522,.493,G,DEN,howarma02
862,Juwan Howard,2012-13,2012-13,39,7,2,7.3,1.4,2.7,1.4,2.7,0.0,0.0,0.1,0.1,0.0,1.1,1.1,0.9,0.0,0.0,0.6,1.3,3.0,.526,.526,,1.000,.540,.526,F,MIA,howarju01
863,Josh Howard,2012-13,2012-13,32,11,4,18.8,2.8,7.0,2.4,5.5,0.5,1.5,0.6,1.1,0.8,2.5,3.3,0.4,0.9,0.3,0.9,1.6,6.7,.403,.426,.313,.583,.450,.435,F-G,MIN,howarjo01
864,Dwight Howard,2012-13,2021-22,27-36,621,458,27.4,4.9,8.1,4.8,8.0,0.0,0.1,3.2,6.0,3.0,7.5,10.6,1.2,0.7,1.4,2.2,3.1,13.0,.600,.604,.300,.535,.604,.602,C,ATLCHOHOULALPHIWAS,howardw01
865,Caleb Houstan,2022-23,2022-23,20,51,4,15.9,1.3,3.6,0.4,0.9,0.9,2.7,0.3,0.4,0.7,1.3,1.9,0.6,0.2,0.1,0.4,1.2,3.8,.363,.435,.338,.833,.508,.489,G-F,ORL,houstca01
866,Danuel House Jr.,2016-17,2022-23,23-29,260,103,22.2,2.6,6.1,1.3,2.4,1.4,3.7,1.1,1.4,0.5,2.6,3.2,1.2,0.6,0.4,0.8,1.6,7.7,.433,.545,.362,.761,.574,.544,G,HOUNYKPHIPHOUTAWAS,houseda01
867,Talen Horton-Tucker,2019-20,2022-23,19-22,196,44,21.5,3.7,8.5,2.9,5.8,0.8,2.7,1.7,2.2,0.5,2.4,3.0,3.0,0.9,0.4,1.6,2.0,9.8,.431,.500,.280,.770,.515,.475,G-F,LALUTA,hortota01
868,Al Horford,2012-13,2022-23,26-36,696,690,31.4,5.7,11.3,4.6,8.5,1.1,2.9,1.2,1.6,1.7,5.7,7.4,3.7,0.8,1.2,1.4,1.9,13.7,.503,.547,.375,.757,.569,.551,C-F,ATLBOSOKCPHI,horfoal01
869,Scotty Hopson,2013-14,2021-22,24-32,4,0,8.3,0.5,2.3,0.5,1.5,0.0,0.8,0.5,1.0,0.0,0.3,0.3,0.8,0.3,0.0,0.8,0.3,1.5,.222,.333,.000,.500,.279,.222,G,CLEDALOKC,hopsosc01
870,Rodney Hood,2014-15,2021-22,22-29,448,253,24.5,3.8,9.0,2.3,5.0,1.4,4.0,1.4,1.7,0.4,2.2,2.6,1.6,0.7,0.2,1.0,1.9,10.4,.420,.462,.366,.841,.535,.500,G-F,CLELACMILPORTORUTA,hoodro01
871,Tyler Honeycutt,2012-13,2012-13,22,9,0,3.6,0.3,1.2,0.3,1.0,0.0,0.2,0.2,0.2,0.3,0.8,1.1,0.2,0.0,0.1,0.6,0.2,0.9,.273,.333,.000,1.000,.337,.273,F,SAC,honeyty01
872,Richaun Holmes,2015-16,2022-23,22-29,418,161,19.8,3.7,6.1,3.6,5.7,0.1,0.4,1.4,1.9,1.7,3.7,5.4,1.0,0.5,1.0,0.9,2.6,8.9,.606,.630,.273,.747,.643,.615,C-F,PHIPHOSAC,holmeri01
873,Rondae Hollis-Jefferson,2015-16,2020-21,21-26,305,154,22.2,3.3,7.3,3.1,6.7,0.1,0.7,2.3,3.2,1.4,4.1,5.5,1.9,0.9,0.5,1.3,2.0,9.0,.449,.473,.212,.735,.518,.458,F,BRKPORTOR,holliro01
874,Ryan Hollins,2012-13,2015-16,28-31,204,21,10.0,1.1,1.7,1.1,1.7,0.0,0.0,0.8,1.2,0.8,1.3,2.1,0.2,0.1,0.5,0.6,1.7,3.0,.648,.648,,.658,.672,.648,C,LACMEMSACWAS,holliry01
875,John Holland,2017-18,2018-19,29-30,25,0,7.0,0.7,2.4,0.2,0.9,0.4,1.4,0.4,0.5,0.2,0.7,1.0,0.2,0.3,0.1,0.3,0.4,2.2,.288,.261,.306,.692,.417,.381,G-F,CLE,hollajo02
876,Justin Holiday,2012-13,2022-23,23-33,622,287,23.9,2.9,7.4,1.3,2.8,1.6,4.5,0.9,1.1,0.4,2.5,2.8,1.4,0.9,0.4,0.9,1.6,8.4,.397,.453,.363,.817,.534,.509,F,ATLCHIDALGSWINDMEMNYKPHISAC,holidju01
