Rk,Player,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,From,To,Age,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
54,Johnathan Williams,13.7,17.6,5.2,0.8,2.3,10.9,14.4,2018-19,2019-20,23-24,39,6,5.5,9.4,5.5,9.1,0.0,0.3,2.2,4.0,4.7,5.9,10.6,1.4,0.6,1.0,1.4,5.1,13.2,.583,.600,.000,.557,.591,.583,F,LALWAS,willijo04
55,Jeenathan Williams,9.0,4.6,12.1,1.2,1.4,9.0,15.2,2022-23,2022-23,23,5,4,6.8,11.1,6.0,8.8,0.9,2.3,0.6,0.9,2.8,1.4,4.3,2.8,0.9,0.6,1.1,3.7,15.0,.615,.677,.375,.667,.657,.654,G,POR,willije02
56,Jaylin Williams,5.1,23.6,10.7,1.5,1.2,12.6,13.5,2022-23,2022-23,20,49,36,4.0,9.2,2.2,4.8,1.8,4.5,1.5,2.1,1.7,7.8,9.5,3.0,1.1,0.5,1.5,4.4,11.3,.436,.463,.407,.704,.559,.534,F,OKC,willija07
57,Jalen Williams,3.9,12.2,15.4,2.1,1.4,12.3,18.4,2022-23,2022-23,21,75,62,6.5,12.6,5.4,9.3,1.2,3.2,2.5,3.0,1.3,4.0,5.3,3.9,1.6,0.6,1.9,3.0,16.7,.521,.579,.356,.812,.601,.567,G,OKC,willija06
58,Grant Williams,4.7,12.9,7.4,1.1,2.2,14.2,12.5,2019-20,2022-23,21-24,288,58,3.6,8.1,1.9,3.5,1.7,4.6,1.5,1.9,1.5,4.3,5.9,2.0,0.8,0.9,1.5,4.1,10.5,.451,.546,.379,.773,.588,.558,F,BOS,willigr01
59,Elliot Williams,2.4,9.5,10.1,1.4,0.2,14.2,16.6,2013-14,2015-16,24-26,85,2,4.3,10.5,3.0,6.5,1.3,4.0,2.5,3.5,0.8,3.0,3.9,2.4,1.1,0.1,2.0,3.8,12.2,.406,.464,.313,.717,.510,.466,G,MEMNOPPHIUTA,williel01
60,Donovan Williams,0.0,55.4,0.0,0.0,0.0,0.0,52.5,2022-23,2022-23,21,2,0,18.0,45.0,18.0,27.0,0.0,18.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,36.0,.400,.667,.000,,.400,.400,F,ATL,willido02
61,Derrick Williams,4.1,16.8,5.6,1.2,0.8,9.6,20.1,2012-13,2017-18,21-26,362,97,5.4,12.4,4.4,9.0,1.0,3.4,3.7,5.2,1.3,5.4,6.7,1.2,0.8,0.4,1.6,2.1,15.6,.438,.488,.306,.713,.531,.480,F,CLELALMIAMINNYKSAC,willide02
62,Deron Williams,1.1,9.3,34.0,1.6,0.6,15.2,22.7,2012-13,2016-17,28-32,339,298,5.7,13.3,3.9,8.4,1.8,4.9,3.2,3.8,0.4,2.9,3.3,7.3,1.1,0.3,2.7,2.6,16.3,.426,.462,.365,.841,.545,.493,G,BRKCLEDAL,willide01
63,C.J. Williams,1.7,6.6,9.2,2.1,1.3,9.5,13.6,2017-18,2018-19,27-28,53,17,4.5,10.0,3.3,5.9,1.2,4.1,0.6,0.7,0.6,2.2,2.8,2.4,1.6,0.6,1.1,3.4,10.7,.448,.558,.287,.765,.518,.506,G,LACMIN,willicj01
64,Brandon Williams,3.1,9.8,23.1,1.8,1.5,15.2,25.9,2021-22,2021-22,22,24,16,5.9,15.9,4.2,9.9,1.7,6.0,3.8,5.5,1.1,3.1,4.2,5.3,1.4,0.6,3.3,2.9,17.4,.372,.420,.292,.701,.476,.427,G,POR,willibr03
