,Player,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,WS,ORtg,DRtg,VORP,PER,TRB%,AST%,TOV%,USG%,HOF,MVP
195,Stephon Marbury,2,37.7,6.8,15.7,5.6,12.1,1.2,3.6,4.5,5.7,0.7,2.3,3.0,7.6,1.2,0.1,3.0,2.4,19.3,0.433,0.465,0.325,0.784,0.528,0.47,G,77.5,108.0,110.0,30.7,18.7,4.5,36.1,14.2,25.4,0,0
196,Pete Maravich,5,37.0,9.4,21.3,9.4,21.3,0.0,0.0,5.4,6.6,0.6,2.2,4.2,5.4,0.9,0.2,0.8,2.8,24.2,0.441,0.441,0.667,0.82,0.5,0.441,G,46.7,96.0,102.0,8.9,18.4,5.5,23.1,14.5,29.2,1,0
197,Danny Manning,2,27.4,5.7,11.1,5.6,10.9,0.0,0.2,2.6,3.5,1.7,3.5,5.2,2.3,1.1,0.9,2.1,3.3,14.0,0.511,0.517,0.206,0.729,0.552,0.513,F-C,55.1,106.0,106.0,18.4,16.9,10.8,13.8,14.2,23.1,0,0
198,Moses Malone,12,33.9,7.1,14.5,7.1,14.4,0.0,0.1,6.4,8.3,5.1,7.1,12.2,1.4,0.8,1.3,2.9,2.3,20.6,0.491,0.492,0.1,0.769,0.569,0.491,C-F,167.1,114.0,105.0,42.4,22.3,19.8,6.0,14.1,25.6,1,1
199,Karl Malone,14,37.2,9.2,17.8,9.1,17.5,0.1,0.2,6.6,8.9,2.4,7.7,10.1,3.6,1.4,0.8,3.1,3.1,25.0,0.516,0.519,0.274,0.742,0.577,0.518,F,234.6,113.0,101.0,99.0,23.9,16.0,17.6,12.4,29.4,1,1
200,Jeff Malone,2,32.8,7.8,16.2,7.7,15.9,0.1,0.4,3.3,3.7,0.6,2.0,2.6,2.4,0.6,0.1,1.7,1.9,19.0,0.484,0.489,0.268,0.871,0.533,0.487,G,54.2,108.0,111.0,4.0,15.2,4.4,12.0,8.7,25.1,0,0
201,Dan Majerle,3,31.6,4.1,9.6,2.7,5.6,1.4,4.0,1.7,2.4,1.2,3.3,4.5,2.9,1.3,0.4,1.2,2.0,11.4,0.431,0.482,0.358,0.741,0.538,0.505,G-F,78.5,114.0,106.0,29.7,13.8,8.1,13.3,9.9,16.2,0,0
204,Maurice Lucas,4,29.0,5.7,12.0,5.7,12.0,0.0,0.0,3.0,4.0,2.5,6.3,8.8,2.3,0.7,0.6,2.1,3.4,14.4,0.473,0.474,0.111,0.763,0.523,0.473,F-C,58.7,104.0,102.0,10.6,16.3,16.8,11.4,15.0,22.1,0,0
206,Kyle Lowry,6,31.9,4.7,11.1,2.8,5.8,1.9,5.3,3.3,4.1,0.8,3.6,4.4,6.3,1.3,0.3,2.3,2.7,14.6,0.424,0.475,0.367,0.815,0.569,0.511,G,107.7,115.0,108.0,42.6,17.8,7.8,30.4,15.4,21.3,0,0
208,Kevin Love,5,30.2,5.6,12.7,3.8,7.9,1.8,4.8,4.0,4.8,2.5,7.9,10.4,2.3,0.6,0.4,1.9,2.0,17.0,0.439,0.481,0.37,0.83,0.571,0.509,F,91.0,115.0,107.0,34.8,20.9,19.3,12.7,11.1,24.4,0,0
210,Brook Lopez,1,30.2,6.3,12.6,5.4,10.2,0.8,2.4,3.0,3.8,2.0,4.2,6.3,1.4,0.6,1.8,1.7,2.7,16.4,0.496,0.532,0.346,0.795,0.573,0.529,C,79.2,112.0,108.0,24.1,19.1,11.5,8.2,10.5,23.4,0,0
211,Damian Lillard,7,36.3,8.2,18.6,5.1,10.3,3.1,8.3,5.8,6.4,0.6,3.6,4.2,6.7,1.0,0.3,2.8,1.9,25.2,0.439,0.494,0.372,0.895,0.588,0.523,G,103.4,118.0,113.0,48.6,22.6,6.4,31.0,11.7,29.2,0,0
212,Reggie Lewis,1,32.6,7.1,14.6,7.0,14.3,0.1,0.3,3.3,4.0,1.3,3.0,4.3,2.6,1.3,0.9,1.6,2.8,17.6,0.488,0.494,0.2,0.824,0.538,0.49,G-F,38.9,112.0,108.0,12.4,17.1,7.4,11.6,8.8,23.3,0,0
213,Rashard Lewis,2,32.0,5.4,11.9,3.7,7.5,1.7,4.4,2.4,3.0,1.4,3.8,5.2,1.7,1.1,0.5,1.5,2.3,14.9,0.452,0.491,0.386,0.805,0.563,0.524,F,90.9,112.0,107.0,33.1,16.8,9.5,8.9,10.2,21.1,0,0
214,Fat Lever,2,31.7,5.6,12.6,5.4,11.9,0.2,0.7,2.4,3.1,1.9,4.1,6.0,6.2,2.2,0.3,2.0,2.4,13.9,0.447,0.455,0.31,0.771,0.496,0.455,G,61.2,109.0,105.0,32.1,17.8,10.1,26.4,12.3,19.7,0,0
215,Kawhi Leonard,5,31.5,7.0,14.2,5.5,10.3,1.5,4.0,4.0,4.6,1.2,5.2,6.4,3.0,1.7,0.6,1.6,1.7,19.6,0.495,0.537,0.387,0.859,0.602,0.549,F,89.8,119.0,102.0,43.6,23.4,11.4,15.8,9.1,25.2,0,0
216,David Lee,2,29.3,5.5,10.3,5.5,10.3,0.0,0.0,2.5,3.2,2.6,6.2,8.8,2.2,0.8,0.4,1.8,2.6,13.5,0.535,0.537,0.034,0.772,0.577,0.536,F,76.0,114.0,106.0,19.2,19.1,17.0,12.6,13.0,20.6,0,0
218,Zach LaVine,2,32.4,7.3,15.7,5.1,9.9,2.2,5.8,3.7,4.4,0.5,3.5,4.0,3.9,0.9,0.3,2.7,2.2,20.5,0.465,0.511,0.385,0.833,0.58,0.536,G-F,30.2,109.0,114.0,12.0,17.4,6.9,20.2,13.1,27.4,0,0
220,Bob Lanier,8,33.5,8.1,15.7,8.1,15.7,0.0,0.0,3.9,5.1,1.9,5.1,10.1,3.1,0.8,1.1,1.2,3.2,20.1,0.514,0.515,0.154,0.767,0.559,0.514,C,117.1,111.0,98.0,39.4,21.7,15.6,14.4,14.9,22.6,1,0
221,Bill Laimbeer,4,31.8,5.2,10.5,5.0,9.9,0.2,0.6,2.3,2.7,2.6,7.1,9.7,2.0,0.7,0.9,1.5,3.4,12.9,0.498,0.508,0.326,0.837,0.552,0.507,C,105.6,115.0,104.0,29.3,16.1,16.7,8.9,11.3,16.9,0,0
222,Christian Laettner,1,29.7,4.6,9.7,4.5,9.3,0.1,0.4,3.4,4.2,1.9,4.8,6.7,2.6,1.1,0.8,2.2,3.2,12.8,0.48,0.49,0.261,0.82,0.557,0.486,F-C,64.9,108.0,105.0,19.5,16.9,13.3,14.9,16.2,21.0,0,0
223,Sam Lacey,1,31.8,4.3,9.7,4.3,9.7,0.0,0.0,1.7,2.4,1.6,5.2,9.7,3.7,1.0,1.2,1.0,3.5,10.3,0.441,0.442,0.188,0.738,0.48,0.441,C,50.9,98.0,96.0,25.9,14.2,15.7,15.6,23.0,14.9,0,0
224,Kyle Korver,1,25.3,3.3,7.5,1.3,2.9,2.0,4.6,1.1,1.2,0.3,2.7,3.0,1.7,0.7,0.3,1.0,2.0,9.7,0.442,0.464,0.429,0.877,0.602,0.574,G-F,73.4,113.0,107.0,20.7,12.8,6.7,10.4,11.5,16.2,0,0
226,Billy Knight,2,27.4,6.1,12.0,6.0,11.8,0.1,0.2,3.6,4.3,1.7,2.8,4.5,2.1,0.9,0.1,1.9,1.8,15.7,0.506,0.51,0.274,0.83,0.568,0.508,G-F,48.5,110.0,107.0,13.4,17.7,8.7,11.6,14.5,22.5,0,0
227,Andrei Kirilenko,1,30.0,3.9,8.3,3.5,6.8,0.5,1.5,3.5,4.6,1.8,3.7,5.5,2.7,1.4,1.8,1.9,2.0,11.8,0.474,0.51,0.31,0.754,0.571,0.502,F,75.4,112.0,103.0,41.7,18.7,11.0,14.7,15.5,18.6,0,0
229,Bernard King,4,33.7,9.0,17.3,8.9,17.1,0.0,0.2,4.5,6.2,1.9,3.8,5.8,3.3,1.0,0.3,3.2,3.3,22.5,0.518,0.521,0.172,0.73,0.561,0.519,F,75.4,108.0,107.0,27.0,19.2,9.4,16.0,13.8,27.8,1,0
230,Jason Kidd,10,36.0,4.5,11.2,3.0,7.1,1.4,4.1,2.2,2.8,1.3,5.0,6.3,8.7,1.9,0.3,2.9,1.8,12.6,0.4,0.429,0.349,0.785,0.507,0.464,G,138.6,107.0,102.0,73.5,17.9,10.0,38.5,18.8,19.2,1,0
