Rk,Player,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
218,Clyde Lee,1966-67,1975-76,22-31,742,,1,26.8,3.0,7.0,3.0,7.0,,,1.6,2.7,0.9,1.6,10.3,1.1,0.1,0.1,,3.0,7.7,.432,.432,,.614,.470,.432,F-C,ATLGSWPHISFW,leecl01
219,Zach LaVine,2014-15,2022-23,19-27,550,463,2,32.4,7.3,15.7,5.1,9.9,2.2,5.8,3.7,4.4,0.5,3.5,4.0,3.9,0.9,0.3,2.7,2.2,20.5,.465,.511,.385,.833,.580,.536,G-F,CHIMIN,lavinza01
220,Rudy LaRusso,1959-60,1968-69,22-31,736,,5,33.3,5.6,12.9,5.6,12.9,,,4.5,5.9,,,9.4,2.1,,,,3.5,15.6,.431,.431,,.767,.504,.431,F-C,LALMNLSFW,larusru01
221,Bob Lanier,1970-71,1983-84,22-35,959,179,8,33.5,8.1,15.7,8.1,15.7,0.0,0.0,3.9,5.1,1.9,5.1,10.1,3.1,0.8,1.1,1.2,3.2,20.1,.514,.515,.154,.767,.559,.514,C,DETMIL,laniebo01
222,Bill Laimbeer,1980-81,1993-94,23-36,1068,861,4,31.8,5.2,10.5,5.0,9.9,0.2,0.6,2.3,2.7,2.6,7.1,9.7,2.0,0.7,0.9,1.5,3.4,12.9,.498,.508,.326,.837,.552,.507,C,CLEDET,laimbbi01
223,Christian Laettner,1992-93,2004-05,23-35,868,692,1,29.7,4.6,9.7,4.5,9.3,0.1,0.4,3.4,4.2,1.9,4.8,6.7,2.6,1.1,0.8,2.2,3.2,12.8,.480,.490,.261,.820,.557,.486,F-C,ATLDALDETMIAMINWAS,laettch01
224,Sam Lacey,1970-71,1982-83,22-34,1002,40,1,31.8,4.3,9.7,4.3,9.7,0.0,0.0,1.7,2.4,1.6,5.2,9.7,3.7,1.0,1.2,1.0,3.5,10.3,.441,.442,.188,.738,.480,.441,C,CINCLEKCKKCONJN,laceysa01
225,Kyle Korver,2003-04,2019-20,22-38,1232,423,1,25.3,3.3,7.5,1.3,2.9,2.0,4.6,1.1,1.2,0.3,2.7,3.0,1.7,0.7,0.3,1.0,2.0,9.7,.442,.464,.429,.877,.602,.574,G-F,ATLCHICLEMILPHIUTA,korveky01
226,Don Kojis,1963-64,1974-75,25-36,814,,2,23.6,4.8,10.9,4.8,10.9,,,2.5,3.5,0.2,0.3,5.6,1.4,0.1,0.0,,2.4,12.2,.446,.446,,.720,.492,.446,F,BALCHIDETKCOSDRSEA,kojisdo01
227,Billy Knight,1976-77,1984-85,24-32,671,113,2,27.4,6.1,12.0,6.0,11.8,0.1,0.2,3.6,4.3,1.7,2.8,4.5,2.1,0.9,0.1,1.9,1.8,15.7,.506,.510,.274,.830,.568,.508,G-F,BOSBUFINDKCKSAS,knighbi01
228,Andrei Kirilenko,2001-02,2014-15,20-33,797,546,1,30.0,3.9,8.3,3.5,6.8,0.5,1.5,3.5,4.6,1.8,3.7,5.5,2.7,1.4,1.8,1.9,2.0,11.8,.474,.510,.310,.754,.571,.502,F,BRKMINUTA,kirilan01
