Rk,Player,WS,ORtg,DRtg,VORP,PER,TRB%,USG%,TOV%,AST%,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
218,Tyrese Haliburton,18.2,122,117,9.0,19.3,6.0,20.2,14.4,35.5,2020-21,2022-23,20-22,191,153,1,33.1,5.9,12.4,3.6,6.7,2.3,5.7,2.0,2.3,0.7,2.9,3.6,8.0,1.6,0.5,2.3,1.4,16.2,.479,.539,.408,.857,.603,.572,G,INDSAC,halibty01
219,Tom Gugliotta,40.2,101,105,15.3,15.9,13.7,21.5,15.2,15.1,1992-93,2004-05,23-35,763,608,1,30.9,5.1,11.3,4.8,10.3,0.3,1.0,2.5,3.4,2.1,5.2,7.3,2.8,1.4,0.6,2.3,2.5,13.0,.451,.467,.284,.757,.509,.463,F,ATLBOSGSWMINPHOUTAWSB,guglito01
220,Blake Griffin,80.8,112,107,32.7,21.0,14.2,26.9,11.8,21.6,2010-11,2022-23,21-33,759,690,6,32.0,7.1,14.5,6.4,12.3,0.7,2.1,4.1,5.9,1.9,6.1,8.0,4.0,0.8,0.5,2.3,2.7,19.1,.493,.522,.328,.696,.559,.518,F-C,BOSBRKDETLAC,griffbl01
221,Rickey Green,47.2,108,108,15.0,15.3,4.2,17.6,15.6,30.8,1977-78,1991-92,23-37,946,513,1,24.6,3.8,8.1,3.8,7.9,0.0,0.2,1.7,2.2,0.5,1.4,1.9,5.5,1.4,0.1,1.7,1.5,9.4,.469,.475,.207,.807,.518,.471,G,BOSCHHDETGSWINDMILPHIUTA,greenri01
222,Draymond Green,57.1,109,103,24.7,14.6,13.2,15.5,21.9,25.6,2012-13,2022-23,22-32,753,603,4,28.8,3.2,7.2,2.4,4.6,0.8,2.6,1.5,2.1,1.1,5.9,7.0,5.6,1.4,1.0,2.3,2.8,8.7,.448,.523,.315,.711,.539,.505,F,GSW,greendr01
223,A.C. Green,99.5,116,106,16.6,14.4,14.7,14.8,11.5,5.4,1985-86,2000-01,22-37,1278,832,1,28.6,3.6,7.2,3.5,6.8,0.1,0.4,2.4,3.3,2.6,4.8,7.4,1.1,0.8,0.4,1.1,1.9,9.6,.494,.507,.254,.734,.557,.501,F-C,DALLALMIAPHO,greenac01
224,Horace Grant,118.2,117,104,33.0,16.0,14.1,15.2,9.8,9.9,1987-88,2003-04,22-38,1165,1037,1,33.2,4.7,9.2,4.7,9.1,0.0,0.1,1.8,2.6,3.0,5.1,8.1,2.2,1.0,1.0,1.1,2.4,11.2,.509,.511,.063,.692,.540,.509,F-C,CHILALORLSEA,grantho01
225,Danny Granger,48.5,109,106,17.7,16.9,8.7,23.8,11.1,10.3,2005-06,2014-15,22-31,586,431,1,31.5,5.7,13.1,4.0,8.6,1.7,4.5,3.7,4.4,1.2,3.8,4.9,1.9,1.0,0.8,1.9,2.8,16.8,.434,.463,.380,.848,.560,.500,F,INDLACMIA,grangda01
226,Gail Goodrich,76.3,104,104,6.0,16.7,4.0,20.5,15.4,20.6,1965-66,1978-79,22-35,1031,,5,32.5,7.2,15.8,7.2,15.8,,,4.2,5.2,0.4,0.6,3.2,4.7,0.5,0.1,0.4,2.7,18.6,.456,.456,,.807,.514,.456,G,LALNOJPHO,goodrga01
227,Rudy Gobert,93.8,127,102,29.1,21.8,21.7,16.2,15.1,6.7,2013-14,2022-23,21-30,676,584,3,30.0,4.6,7.1,4.6,7.1,0.0,0.0,3.3,5.1,3.3,8.3,11.7,1.3,0.7,2.1,1.7,2.6,12.5,.654,.656,.000,.639,.671,.654,C,MINUTA,goberru01
