Rk,Player,From,To,Age,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
12,Ben Wallace,1996-97,2011-12,22-37,1088,912,4,29.5,2.4,5.0,2.4,4.9,0.0,0.0,1.0,2.5,3.2,6.5,9.6,1.3,1.3,2.0,1.0,1.9,5.7,.474,.477,.137,.414,.474,.475,F-C,CHICLEDETORLWASWSB,wallabe01
13,Chet Walker,1962-63,1974-75,22-34,1032,,7,32.4,6.7,14.2,6.7,14.2,,,4.9,6.2,0.2,0.6,7.1,2.1,0.1,0.0,,2.6,18.2,.470,.470,,.796,.540,.470,F-G,CHIPHISYR,walkech01
14,Wes Unseld,1968-69,1980-81,22-34,984,,5,36.4,4.4,8.7,4.4,8.7,0.0,0.0,1.9,3.0,2.1,5.1,14.0,3.9,0.6,0.4,0.6,2.8,10.8,.509,.509,.500,.633,.537,.509,C-F,BALCAPWSB,unselwe01
15,Jack Twyman,1955-56,1965-66,21-31,823,,6,31.8,7.6,16.9,7.6,16.9,,,4.1,5.3,,,6.6,2.3,,,,3.4,19.2,.450,.450,,.778,.502,.450,F-G,CINROC,twymaja01
16,Rudy Tomjanovich,1970-71,1980-81,22-32,768,,5,33.5,7.3,14.6,7.3,14.5,0.0,0.2,2.7,3.5,1.5,3.6,8.1,2.0,0.5,0.2,0.4,2.5,17.4,.501,.504,.262,.784,.539,.502,F,HOUSDR,tomjaru01
17,Nate Thurmond,1963-64,1976-77,22-35,964,,7,37.2,5.7,13.6,5.7,13.6,,,3.5,5.3,0.8,1.9,15.0,2.7,0.1,0.6,,2.7,15.0,.421,.421,,.667,.470,.421,C-F,CHICLEGSWSFW,thurmna01
18,David Thompson,1976-77,1983-84,22-29,509,69,4,32.0,8.3,16.4,8.2,16.3,0.0,0.2,5.5,7.1,1.4,2.3,3.8,3.2,0.9,0.8,2.2,2.5,22.1,.504,.506,.277,.778,.566,.505,G-F,DENSEA,thompda01
19,Isiah Thomas,1981-82,1993-94,20-32,979,971,12,36.3,7.3,16.2,6.9,14.8,0.4,1.4,4.1,5.4,1.0,2.6,3.6,9.3,1.9,0.3,3.8,3.0,19.2,.452,.468,.290,.759,.516,.465,G,DET,thomais01
20,Maurice Stokes,1955-56,1957-58,22-24,202,,3,37.3,6.2,17.7,6.2,17.7,,,4.0,5.8,,,17.3,5.3,,,,3.9,16.4,.351,.351,,.698,.406,.351,F-C,CINROC,stokema01
21,John Stockton,1984-85,2002-03,22-40,1504,1300,10,31.8,4.7,9.1,4.1,7.6,0.6,1.5,3.2,3.9,0.6,2.1,2.7,10.5,2.2,0.2,2.8,2.6,13.1,.515,.541,.384,.826,.608,.546,G,UTA,stockjo01
22,Jerry Sloan,1965-66,1975-76,23-33,755,,2,34.1,5.5,12.8,5.5,12.8,,,3.1,4.3,0.5,1.1,7.4,2.5,0.5,0.0,,3.6,14.0,.427,.427,,.722,.477,.427,G-F,BALCHI,sloanje01
23,Jack Sikma,1977-78,1990-91,22-35,1107,739,7,33.4,5.8,12.5,5.6,11.9,0.2,0.6,3.9,4.6,2.3,7.5,9.8,3.2,1.0,0.9,2.3,3.5,15.6,.464,.470,.328,.849,.540,.471,C-F,MILSEA,sikmaja01
24,Bill Sharman,1950-51,1960-61,24-34,711,,8,30.7,6.7,15.7,6.7,15.7,,,4.4,5.0,,,3.9,3.0,,,,2.7,17.8,.426,.426,,.883,.497,.426,G,BOSWSC,sharmbi01
25,Charlie Scott,1971-72,1979-80,23-31,560,,3,34.4,7.3,16.5,7.3,16.5,0.0,0.0,3.2,4.2,0.8,2.2,3.6,4.8,1.1,0.3,1.2,3.7,17.9,.444,.444,.182,.772,.487,.444,G-F,BOSDENLALPHO,scottch01
26,Dolph Schayes,1949-50,1963-64,21-35,996,,12,29.9,5.9,15.5,5.9,15.5,,,6.7,7.9,,,11.3,3.1,,,,3.4,18.5,.380,.380,,.849,.488,.380,F-C,PHISYR,schaydo01
27,Ralph Sampson,1983-84,1991-92,23-31,456,363,4,29.8,6.4,13.2,6.4,13.1,0.0,0.1,2.6,3.9,2.6,6.2,8.8,2.3,0.9,1.6,3.0,3.5,15.4,.486,.489,.172,.661,.518,.487,C-F,GSWHOUSACWSB,sampsra01
28,Bill Russell,1956-57,1968-69,22-34,963,,12,42.3,5.9,13.4,5.9,13.4,,,3.3,5.8,,,22.5,4.3,,,,2.7,15.1,.440,.440,,.561,.471,.440,C,BOS,russebi01
29,Dennis Rodman,1986-87,1999-00,25-38,911,573,2,31.7,3.0,5.8,2.9,5.4,0.1,0.4,1.2,2.0,4.8,8.4,13.1,1.8,0.7,0.6,1.6,3.1,7.3,.521,.542,.231,.584,.546,.529,F,CHIDALDETLALSAS,rodmade01
30,Guy Rodgers,1958-59,1969-70,23-34,892,,4,32.1,4.6,12.2,4.6,12.2,,,2.4,3.4,,,4.3,7.8,,,,2.9,11.7,.378,.378,,.721,.426,.378,G,CHICINMILPHWSFW,rodgegu01
31,David Robinson,1989-90,2002-03,24-37,987,985,10,34.7,7.5,14.4,7.4,14.3,0.0,0.1,6.1,8.3,3.1,7.5,10.6,2.5,1.4,3.0,2.4,2.9,21.1,.518,.520,.250,.736,.583,.519,C,SAS,robinda01
32,Oscar Robertson,1960-61,1973-74,22-35,1040,,12,42.2,9.1,18.9,9.1,18.9,,,7.4,8.8,0.1,0.2,7.5,9.5,0.1,0.0,,2.8,25.7,.485,.485,,.838,.564,.485,G-F,CINMIL,roberos01
33,Arnie Risen,1948-49,1957-58,24-33,637,,4,19.9,4.1,10.8,4.1,10.8,,,3.8,5.4,,,7.9,1.7,,,,3.8,12.0,.381,.381,,.699,.456,.381,C-F,BOSROC,risenar01
