Rk,Player,ORtg,DRtg,PER,TRB%,AST%,STL%,BLK%,TOV%,USG%,From,To,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Team,-9999
385,Dorian Finney-Smith,109,117,9.2,9.0,6.7,1.4,1.6,10.5,13.2,2022-23,2022-23,29,66,66,30.4,3.0,7.6,1.2,2.5,1.7,5.1,0.7,0.9,1.7,3.1,4.8,1.5,0.8,0.5,0.9,2.2,8.3,.391,.503,.337,.763,.523,.505,F,BRKDAL,finnedo01
386,Bruno Fernando,118,115,16.6,18.6,10.8,0.7,8.1,15.7,16.3,2022-23,2022-23,24,39,4,10.4,1.5,2.9,1.5,2.8,0.0,0.1,0.9,1.3,1.4,2.1,3.5,0.8,0.2,0.9,0.6,1.9,3.9,.527,.546,.000,.700,.571,.527,F,ATLHOU,fernabr01
387,Drew Eubanks,130,115,16.2,15.2,9.2,1.2,5.7,14.7,12.5,2022-23,2022-23,25,78,28,20.3,2.7,4.3,2.7,4.1,0.1,0.2,1.1,1.6,1.7,3.7,5.4,1.3,0.5,1.3,0.9,2.2,6.6,.641,.655,.389,.664,.666,.651,F,POR,eubandr01
388,Joel Embiid,124,109,31.4,17.3,22.9,1.4,4.6,11.9,37.0,2022-23,2022-23,28,66,66,34.6,11.0,20.1,10.0,17.1,1.0,3.0,10.0,11.7,1.7,8.4,10.2,4.2,1.0,1.7,3.4,3.1,33.1,.548,.587,.330,.857,.655,.573,C,PHI,embiijo01
389,Keon Ellis,138,114,14.0,6.4,10.5,3.4,1.2,5.0,12.1,2022-23,2022-23,23,16,0,4.4,0.4,1.0,0.1,0.3,0.4,0.8,0.3,0.4,0.3,0.3,0.5,0.4,0.3,0.1,0.1,0.6,1.5,.438,.250,.500,.571,.629,.625,G,SAC,elliske01
390,Kessler Edwards,108,117,8.4,9.0,7.5,1.7,1.4,11.5,12.7,2022-23,2022-23,22,36,4,10.7,1.0,2.6,0.5,1.1,0.5,1.5,0.3,0.4,0.6,1.1,1.7,0.6,0.4,0.2,0.4,1.1,2.8,.387,.500,.309,.733,.502,.478,F,BRKSAC,edwarke02
391,Anthony Edwards,106,113,17.4,9.0,19.3,2.1,1.8,13.0,29.9,2022-23,2022-23,21,79,79,36.0,8.9,19.5,6.3,12.2,2.7,7.3,4.0,5.3,0.6,5.2,5.8,4.4,1.6,0.7,3.3,2.4,24.6,.459,.513,.369,.756,.564,.528,G,MIN,edwaran01
392,Tari Eason,110,115,15.3,15.4,7.4,2.6,2.6,12.2,19.3,2022-23,2022-23,21,82,5,21.5,3.6,8.0,2.9,6.0,0.7,2.1,1.3,1.8,2.4,3.7,6.0,1.1,1.2,0.6,1.2,2.3,9.3,.448,.486,.343,.752,.525,.493,F,HOU,easonta01
393,Jalen Duren,126,116,17.3,19.7,6.8,1.3,3.1,16.5,14.3,2022-23,2022-23,19,67,31,24.9,3.9,5.9,3.9,5.9,0.0,0.0,1.4,2.3,3.4,5.5,8.9,1.1,0.7,0.9,1.4,2.7,9.1,.648,.652,.000,.611,.655,.648,C,DET,durenja01
394,Kevin Durant,123,113,25.9,10.5,24.5,1.0,3.4,13.4,30.7,2022-23,2022-23,34,47,47,35.6,10.3,18.3,8.3,13.4,2.0,4.9,6.5,7.1,0.4,6.3,6.7,5.0,0.7,1.4,3.3,2.1,29.1,.560,.617,.404,.919,.677,.614,F-G,BRKPHO,duranke01
