,Player,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,Age,G,GS,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
129,Franz Wagner,3.3,11.5,16.5,1.4,0.9,10.9,22.4,20-21,159,159,7.1,15.0,5.5,10.4,1.6,4.5,3.3,3.9,1.1,3.8,4.9,3.7,1.0,0.4,2.0,2.5,19.2,0.477,0.528,0.358,0.85,0.575,0.531,G-F
130,Dwyane Wade,4.1,12.0,26.5,2.1,1.7,13.6,29.8,31-37,458,321,8.4,17.8,7.8,15.8,0.6,2.0,4.3,5.7,1.2,3.8,5.1,5.3,1.5,0.7,3.2,2.2,21.6,0.471,0.493,0.296,0.752,0.533,0.487,G
131,Dean Wade,3.3,15.9,7.3,1.5,1.5,8.0,11.5,23-26,170,60,3.6,8.2,1.6,2.6,2.0,5.5,0.7,1.1,1.1,5.0,6.1,1.9,1.1,0.6,0.8,3.0,9.9,0.439,0.599,0.362,0.699,0.574,0.561,F
132,Sasha Vujačić,3.1,14.1,15.3,1.8,0.4,12.4,17.1,29-32,105,29,4.1,11.3,2.0,5.4,2.1,5.9,1.3,1.7,1.0,4.7,5.7,3.7,1.3,0.2,1.7,3.3,11.5,0.359,0.372,0.347,0.778,0.477,0.45,G
133,Nikola Vučević,8.7,28.9,15.9,1.4,2.4,10.0,24.9,22-32,772,747,8.5,17.1,7.5,14.3,1.0,2.8,1.9,2.5,2.8,9.3,12.2,3.3,1.0,1.0,2.0,2.7,19.9,0.497,0.526,0.348,0.768,0.547,0.526,C
134,Noah Vonleh,8.9,24.3,6.6,1.2,2.0,14.8,13.9,19-27,362,172,4.0,8.7,3.4,6.9,0.6,1.9,1.8,2.6,3.0,8.0,11.0,1.6,0.9,0.9,1.7,4.0,10.4,0.459,0.501,0.307,0.692,0.526,0.492,F-C
135,Gabe Vincent,1.7,7.7,16.1,1.8,0.5,13.7,17.9,23-26,195,68,4.7,11.9,2.2,4.4,2.5,7.5,1.2,1.4,0.5,2.4,2.9,4.0,1.3,0.2,2.0,3.5,13.2,0.399,0.499,0.339,0.852,0.527,0.505,G
136,Charlie Villanueva,4.6,20.2,6.7,1.3,2.5,7.5,24.2,28-31,215,5,6.7,17.1,3.5,7.4,3.2,9.7,1.1,1.7,1.5,6.4,7.9,1.4,0.9,1.1,1.4,3.4,17.6,0.39,0.467,0.331,0.631,0.493,0.484,F
137,Jan Veselý,10.0,15.5,5.4,2.5,3.0,16.1,12.7,22-23,105,5,3.8,7.5,3.8,7.5,0.0,0.0,0.8,2.5,3.2,4.9,8.2,1.3,1.8,1.4,1.6,6.0,8.4,0.509,0.51,0.0,0.326,0.491,0.509,F
138,Rashad Vaughn,1.2,9.6,6.4,1.6,1.5,8.9,14.5,19-21,139,8,3.5,10.3,1.7,4.6,1.8,5.7,0.4,0.6,0.4,3.0,3.4,1.6,1.1,0.6,1.0,2.6,9.1,0.337,0.366,0.313,0.692,0.432,0.424,G
